"crash_date","latitude","longitude","collision_id"
2015-12-27,40.6773646,-73.9079765,3360797
2015-12-31,40.6299872,-73.9715677,3363081
2015-12-26,40.6607702,-73.9197423,3360758
2015-12-29,40.6434847,-73.9449004,3362501
2015-12-27,40.7197986,-73.9534702,3362609
2015-12-30,40.6754368,-73.9779583,3362584
2015-12-24,40.6487213,-73.9649038,3360780
2015-12-30,40.6997037,-73.9804639,3362604
2015-12-28,40.6394811,-74.0161675,3367178
2015-12-23,40.6955559,-73.9345617,3367224
2015-12-24,40.6796356,-73.9495828,3360060
2015-12-24,40.700675,-73.921631,3360836
2015-12-25,40.6336818,-73.8986765,3360036
2015-12-28,40.6912281,-73.9821324,3361483
2015-12-24,40.6024665,-73.9663685,3359986
2015-12-30,40.6540699,-73.9617619,3362521
2015-12-31,40.6564847,-73.9600738,3363518
2015-12-24,40.6793614,-73.8797404,3359588
2015-12-28,40.6689755,-73.9066724,3361990
2015-12-31,40.6717575,-73.9197075,3364816
2015-12-29,40.5866702,-73.9661497,3361890
2015-12-31,40.685113,-73.9471628,3363532
2015-12-27,40.6634478,-73.9455364,3360787
2015-12-31,40.6432041,-73.9092812,3363077
2015-12-30,40.6106126,-73.9567049,3363021
2015-12-28,40.6501706,-73.9292006,3361365
2015-12-30,40.6566425,-74.005262,3362532
2015-12-23,40.7005456,-73.9444025,3358951
2015-12-30,40.6434259,-74.0120642,3362535
2015-12-27,40.6349472,-73.932499,3361355
2015-12-27,40.6774132,-73.9303181,3361462
2015-12-23,40.6024219,-73.9945838,3359475
2015-12-29,40.6827016,-73.9290074,3362020
2015-12-30,40.696131,-73.9871041,3362601
2015-12-27,40.638606,-73.9482662,3361356
2015-12-24,40.693341,-73.9668817,3359638
2015-12-24,40.6133874,-73.995984,3359999
2015-12-29,40.6448975,-74.0069511,3362531
2015-12-30,40.7330316,-73.9547274,3362615
2015-12-28,40.688616,-73.9891681,3362031
2015-12-23,40.650766,-73.8848048,3359575
2015-12-31,40.6677452,-73.9964746,3363093
2015-12-29,40.6595814,-73.8924631,3362547
2015-12-31,40.6508869,-73.964654,3363085
2015-12-31,40.6917381,-73.9140004,3363846
2015-12-31,40.6711788,-73.9559374,3363122
2015-12-27,40.640237,-73.9059739,3360775
2015-12-23,40.5803795,-73.9676001,3358739
2015-12-29,40.6741228,-73.8808025,3362545
2015-12-24,40.6328856,-73.9476978,3359540
2015-12-25,40.6569792,-73.8894182,3360331
2015-12-31,40.6397628,-73.9580047,3363083
2015-12-29,40.6776042,-73.9023376,3362548
2015-12-26,40.6089098,-74.0144818,3361909
2015-12-25,40.6471319,-74.0046234,3360051
2015-12-30,40.6901638,-73.9871016,3362603
2015-12-30,40.6419547,-73.9884946,3362487
2015-12-26,40.663941,-73.9976787,3360791
2015-12-27,40.6747876,-73.8761904,3361419
2015-12-24,40.6162948,-73.9298992,3359494
2015-12-28,40.655593,-73.9471574,3361970
2015-12-25,40.7061827,-73.9284486,3364267
2015-12-30,40.7095517,-73.9588589,3362608
2015-12-29,40.5953422,-73.9538125,3362465
2015-12-25,40.6632451,-73.9042113,3360317
2015-12-29,40.680015,-73.8774282,3362551
2015-12-29,40.7019114,-73.936979,3362038
2015-12-31,40.7140452,-73.9263299,3363150
2015-12-27,40.6004123,-73.9881885,3360742
2015-12-27,40.6268093,-74.0078354,3360764
2015-12-31,40.6765627,-73.8729857,3363799
2015-12-24,40.7001224,-73.9163157,3360835
2015-12-27,40.6143692,-73.9709549,3361346
2015-12-24,40.6735602,-73.9362632,3359600
2015-12-26,40.668669,-73.8683145,3360801
2015-12-27,40.6689504,-73.9338885,3360789
2015-12-25,40.7089041,-73.9592525,3360842
2015-12-30,40.6979035,-73.9467957,3362585
2015-12-31,40.6465718,-73.8961633,3363076
2015-12-28,40.677368,-74.0101703,3361439
2015-12-27,40.6697253,-73.8609622,3361993
2015-12-31,40.6104217,-73.9821072,3363770
2015-12-30,40.6268219,-73.9267072,3363039
2015-12-31,40.6117921,-73.987196,3364736
2015-12-28,40.6803904,-73.949557,3362014
2015-12-28,40.6100983,-73.9613729,3361322
2015-12-30,40.6697124,-73.9477302,3366063
2015-12-25,40.6163458,-74.0115442,3360033
2015-12-29,40.7042112,-73.961221,3362041
2015-12-27,40.5790517,-73.9841495,3361313
2015-12-25,40.5822717,-73.986118,3361311
2015-12-28,40.6527684,-73.8862898,3361425
2015-12-23,40.666297,-73.8944384,3358890
2015-12-26,40.6265729,-74.0116648,3360300
2015-12-25,40.6465591,-73.9259215,3361353
2015-12-29,40.6339615,-74.0147538,3362504
