ctlabel,borocode,boroname,ct2020,boroct2020,cdeligibil,ntaname,nta2020,cdta2020,cdtaname,geoid,shape_leng,shape_area,num_crash,num_tree,crash_dens,tree_dens,area_acre
"806","3",Brooklyn,"080600","3080600",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080600",6017.6450514699999985168687999248505,1790169.5516800000332295894622802734375,132.000000000000000,233.000000000000000,3.212,5.670,41.097
"804","3",Brooklyn,"080400","3080400",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080400",6685.9414256999998542596586048603058,2042543.1793500001076608896255493164062,181.000000000000000,225.000000000000000,3.860,4.798,46.890
"802","3",Brooklyn,"080200","3080200",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080200",5767.2159237400001075002364814281464,1994115.4726199998985975980758666992188,159.000000000000000,263.000000000000000,3.473,5.745,45.779
"800","3",Brooklyn,"080000","3080000",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080000",5625.2305044699987774947658181190491,1869357.4164799998980015516281127929688,132.000000000000000,391.000000000000000,3.076,9.111,42.915
"816","3",Brooklyn,"081600","3081600",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047081600",6080.4148477700000512413680553436279,1933154.5656799999997019767761230468750,136.000000000000000,153.000000000000000,3.065,3.448,44.379
"814","3",Brooklyn,"081400","3081400",,East Flatbush-Rugby,BK1703,BK17,BK17 East Flatbush (CD 17 Approximation),"36047081400",5579.3555595600000742706470191478729,1831958.6577200000174343585968017578125,98.000000000000000,183.000000000000000,2.330,4.351,42.056
"810","3",Brooklyn,"081000","3081000",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047081000",6573.8569059900000866036862134933472,1748271.9621099999640136957168579101562,91.000000000000000,172.000000000000000,2.267,4.286,40.135
"808","3",Brooklyn,"080800","3080800",,Prospect Lefferts Gardens-Wingate,BK0902,BK09,BK09 Crown Heights (South) (CD 9 Approximation),"36047080800",11997.5774333999997907085344195365906,3465286.5081500001251697540283203125000,219.000000000000000,149.000000000000000,2.753,1.873,79.552
"824","3",Brooklyn,"082400","3082400",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082400",6085.9471168500003841472789645195007,2307258.5802799998782575130462646484375,184.000000000000000,218.000000000000000,3.474,4.116,52.967
"822","3",Brooklyn,"082200","3082200",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082200",5792.8440400199997384333983063697815,1827422.9065499999560415744781494140625,207.000000000000000,208.000000000000000,4.934,4.958,41.952
"820","3",Brooklyn,"082000","3082000",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082000",5582.4193064900000535999424755573273,1599913.4617600000929087400436401367188,233.000000000000000,179.000000000000000,6.344,4.874,36.729
"818","3",Brooklyn,"081800","3081800",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047081800",5542.9991074400004436029121279716492,1699560.0749500000383704900741577148438,214.000000000000000,187.000000000000000,5.485,4.793,39.017
"832","3",Brooklyn,"083200","3083200",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083200",5511.6243777999998201266862452030182,1566888.4914200000930577516555786132812,57.000000000000000,158.000000000000000,1.585,4.392,35.971
"830","3",Brooklyn,"083000","3083000",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083000",6600.7543960599996353266760706901550,2171914.9530099998228251934051513671875,140.000000000000000,275.000000000000000,2.808,5.515,49.860
"828","3",Brooklyn,"082800","3082800",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082800",5546.2409419599998727790080010890961,1687712.4758999999612569808959960937500,162.000000000000000,253.000000000000000,4.181,6.530,38.745
"826","3",Brooklyn,"082600","3082600",,East Flatbush-Erasmus,BK1701,BK17,BK17 East Flatbush (CD 17 Approximation),"36047082600",5883.0294546799996169283986091613770,2142838.8561300002038478851318359375000,172.000000000000000,296.000000000000000,3.496,6.017,49.193
"840","3",Brooklyn,"084000","3084000",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047084000",5550.2825136299998121103271842002869,1830663.2527900000568479299545288085938,115.000000000000000,189.000000000000000,2.736,4.497,42.026
"838","3",Brooklyn,"083800","3083800",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083800",5510.7987648899998021079227328300476,1796855.8435800001025199890136718750000,48.000000000000000,157.000000000000000,1.164,3.806,41.250
"836","3",Brooklyn,"083600","3083600",,East Flatbush-Farragut,BK1702,BK17,BK17 East Flatbush (CD 17 Approximation),"36047083600",6026.3891479200001413119025528430939,2240975.5794299994595348834991455078125,90.000000000000000,170.000000000000000,1.749,3.304,51.446
